sample_index,ingress_sequence,kind,control,action,value,active_rate_index,active_holes,scheduler_error,effective_edge_frames,cut
1357125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1359000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1360125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1362000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1363125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1365000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1366125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1368000,0,beat_boundary,TEMPO,UNSUPPORTED,120,8,3,0,192,0
1368000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1369125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1371000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1372125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1374000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1375125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1377000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1378125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1380000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1381125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1383000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1384125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1386000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1387125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1389000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1390125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1392000,0,beat_boundary,TEMPO,UNSUPPORTED,120,8,3,0,192,0
1392000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1393125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1395000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1396125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1398000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1399125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1401000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1402125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1404000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1405125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1407000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1408125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1410000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1411125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1413000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1414125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1416000,0,beat_boundary,TEMPO,UNSUPPORTED,120,8,3,0,192,0
1416000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1417125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1419000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1420125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1422000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1423125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1425000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1426125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1428000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1429125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1431000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1432125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1434000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1435125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1437000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1438125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1440000,0,beat_boundary,TEMPO,UNSUPPORTED,120,8,3,0,192,0
1440000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1441125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1443000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1444125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1446000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1447125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1449000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1450125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1452000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1453125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1455000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1456125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1458000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1459125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1461000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1462125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1464000,0,beat_boundary,TEMPO,UNSUPPORTED,120,8,3,0,192,0
1464000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1465125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1467000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1468125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1470000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1471125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1473000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1474125,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,0
1476000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
